id;hash_identificador;id_pedido;codigo_contratacion;nro_licitacion;_estado;estado;convocante_slug;convocante_codigo;convocante;unidad_contratacion;nro_orden_compra;ruc;proveedor;monto;_moneda;moneda;fecha_orden_compra;id_padre;planificacion_slug;convenio_slug;tipo_operacion_convenio
GWzhRiRWVMZDr0JizpI3AVq6owJy2FDZ8zFV%2FKgTRYPZuz5WJkWDBA%3D%3D;ab933a6be7c3ab26cf7bed563b48f0836d13d0f4;wICOHuUEc4U%3D;AM-28001-26-63277;386038;confirmada;confirmada;universidad-nacional-asuncion;226;"Universidad Nacional de Asunción";"Facultad de Ciencias Medicas";1360-2026-15;80092809-1;"Medical Supply Sociedad Anonima";18725000;PYG;Guaraníes;"2026-04-09 11:40:34";dix2iRRDbik%3D;1f1237a9-3d49-63dc-a106-4f32cc81270b;7090249d-45a5-4835-9419-a09b2e3ce40a;covid-19
GWzhRiRWVMbdjTmcEY7bcSQbbHVkNpzO8zFV%2FKgTRYPZuz5WJkWDBA%3D%3D;66c2f95482d6354b829004b6ffd5408e91375211;wICOHuUEc4U%3D;AM-28001-26-63276;386038;confirmada;confirmada;universidad-nacional-asuncion;226;"Universidad Nacional de Asunción";"Facultad de Ciencias Medicas";1360-2026-14;80015788-5;"EL ALAMO SA";92400000;PYG;Guaraníes;"2026-04-09 11:39:13";dix2iRRDbik%3D;1f1237a9-3d49-63dc-a106-4f32cc81270b;7090249d-45a5-4835-9419-a09b2e3ce40a;covid-19
GWzhRiRWVMZmIdFtn0fnBquu%2FDNUrXFK8zFV%2FKgTRYPZuz5WJkWDBA%3D%3D;76c1653cad9095b7c84ea4ea1f498214e533b229;wICOHuUEc4U%3D;AM-28001-26-63274;386038;confirmada;confirmada;universidad-nacional-asuncion;226;"Universidad Nacional de Asunción";"Facultad de Ciencias Medicas";1360-2026-16;80051446-7;"INTERLABO S.R.L.";17600000;PYG;Guaraníes;"2026-04-09 11:37:43";dix2iRRDbik%3D;1f1237a9-3d49-63dc-a106-4f32cc81270b;7090249d-45a5-4835-9419-a09b2e3ce40a;covid-19
GWzhRiRWVMbVhCThTaP%2BNIoLD4rrNbif8zFV%2FKgTRYPZuz5WJkWDBA%3D%3D;f044102f20d5673d763079824e29181321f7bf7e;wICOHuUEc4U%3D;AM-28001-26-63273;386038;confirmada;confirmada;universidad-nacional-asuncion;226;"Universidad Nacional de Asunción";"Facultad de Ciencias Medicas";1360-2026-13;80001613-0;"TROVATO C.I.S.A.";92300000;PYG;Guaraníes;"2026-04-09 11:36:32";dix2iRRDbik%3D;1f1237a9-3d49-63dc-a106-4f32cc81270b;7090249d-45a5-4835-9419-a09b2e3ce40a;covid-19
JN0o%2FpodSIZQOqwXgniXHDs1LMxMDVU0jIJObNtzT2lsY3zjAdQxgQ%3D%3D;8c05026fd16c5859bedd3446080baf4125c8ba2d;mSDrDIpPYEE%3D;AM-12003-26-63222;386038;confirmada;confirmada;ministerio-interior;299;"Ministerio del Interior";"Policia Nacional";1050-2026-115;80015788-5;"EL ALAMO SA";44000000;PYG;Guaraníes;"2026-04-08 13:32:46";dix2iRRDbik%3D;1f11c8c8-9146-6d7c-a7f2-91a154bb65e8;7090249d-45a5-4835-9419-a09b2e3ce40a;covid-19
JN0o%2FpodSIYLOAXhjd07up2hoWnY3dzgjIJObNtzT2lsY3zjAdQxgQ%3D%3D;5f9a4b11030e6da5d399a4d94a1a5b88ad78d0e1;mSDrDIpPYEE%3D;AM-12003-26-63221;386038;confirmada;confirmada;ministerio-interior;299;"Ministerio del Interior";"Policia Nacional";1050-2026-116;80051446-7;"INTERLABO S.R.L.";7800000;PYG;Guaraníes;"2026-04-08 13:31:17";dix2iRRDbik%3D;1f11c8c8-9146-6d7c-a7f2-91a154bb65e8;7090249d-45a5-4835-9419-a09b2e3ce40a;covid-19
H7aJVp7GJuYjrusYw%2FVnL8wW3Mh8Dune9CTKWpIuWlESknW%2BmH8eRg%3D%3D;bc528cf2b9af6a77fe87e6ef974764f57cc2a8f8;N6CZPZDFuow%3D;AM-23035-26-62715;386038;confirmada;confirmada;direccion-nacional-defensa-salud-bienestar-animal;377;"Dirección Nacional de Defensa, Salud y Bienestar Animal";"Dirección Nacional de Defensa, Salud y Bienestar Animal";1960-2026-1;80051446-7;"INTERLABO S.R.L.";2700000;PYG;Guaraníes;"2026-03-25 14:20:02";dix2iRRDbik%3D;1f105ab9-fae9-6d48-b942-05f9d14e7df0;7090249d-45a5-4835-9419-a09b2e3ce40a;covid-19
xDjFYWE4lwKV7rOHt195MuHkD28vDOdflisjdPKSJAUdiH%2BsYlocPw%3D%3D;e31933db5bb4633870e86744947a20145a68a55d;7OGXl8Fd%2BiQ%3D;AM-12003-26-62124;386038;confirmada;confirmada;ministerio-interior;299;"Ministerio del Interior";"Policia Nacional";1050-2026-24;80029151-4;"AO POTI S.A.";93600000;PYG;Guaraníes;"2026-03-16 09:01:58";dix2iRRDbik%3D;1f11c8c8-9146-6d7c-a7f2-91a154bb65e8;7090249d-45a5-4835-9419-a09b2e3ce40a;covid-19
xDjFYWE4lwLcooWKPNbxG97sWuoyOVfWlisjdPKSJAUdiH%2BsYlocPw%3D%3D;1c59dd21e2073724dc1f85f100ccaf1731b54dcc;7OGXl8Fd%2BiQ%3D;AM-12003-26-62123;386038;confirmada;confirmada;ministerio-interior;299;"Ministerio del Interior";"Policia Nacional";1050-2026-23;80001446-4;"VICENTE SCAVONE & CIA. S.A.E";2430000;PYG;Guaraníes;"2026-03-16 09:00:20";dix2iRRDbik%3D;1f11c8c8-9146-6d7c-a7f2-91a154bb65e8;7090249d-45a5-4835-9419-a09b2e3ce40a;covid-19
PKtazUpUWnZfKjMFgOkamgugdLYjsV3ZWJ1Ts85c%2F8063Ss0wI1Hag%3D%3D;1dc68c821fa78b7904ee2d2074da26a304c5dc80;FzPi2EfnV5o%3D;AM-12008-26-61403;386038;confirmada;confirmada;ministerio-salud-publica-bienestar-social;306;"Ministerio de Salud Pública y Bienestar Social";"Uoc Nro 1  Nivel Central (D.O.C)";1451-2026-16;80001613-0;"TROVATO C.I.S.A.";1557675000;PYG;Guaraníes;"2026-02-23 08:13:51";dix2iRRDbik%3D;;7090249d-45a5-4835-9419-a09b2e3ce40a;covid-19
