id;hash_identificador;id_pedido;codigo_contratacion;nro_licitacion;_estado;estado;convocante_slug;convocante_codigo;convocante;unidad_contratacion;nro_orden_compra;ruc;proveedor;monto;_moneda;moneda;fecha_orden_compra;id_padre;planificacion_slug;convenio_slug;tipo_operacion_convenio
k%2F%2BZZSE088bTrVW1gQyRKc6azv5Z%2BT0yQCbHuLucvvnEMaLXG%2FnqOA%3D%3D;a95fbaa9c78ea9ddce3bf17fa91e049921235427;pz7%2FqTuBaJk%3D;AM-12003-26-61691;395261;confirmada;confirmada;ministerio-interior;299;"Ministerio del Interior";"Policia Nacional";1050-2026-4;80001446-4;"VICENTE SCAVONE & CIA. S.A.E";96000000;PYG;Guaraníes;"2026-03-04 14:22:00";dix2iRRDbik%3D;1f11717d-cd68-637a-a90f-7db3ff72c882;9c7817cf-0320-4392-97b6-4af56547dbea;covid-19
k%2F%2BZZSE088ZhZ5dw9X%2BKvGU%2FSHpHgUKJQCbHuLucvvnEMaLXG%2FnqOA%3D%3D;e793a0513c1543a2427c037c6ba7c218fd27fdf3;pz7%2FqTuBaJk%3D;AM-12003-26-61690;395261;confirmada;confirmada;ministerio-interior;299;"Ministerio del Interior";"Policia Nacional";1050-2026-3;80074991-0;"QUIMFA S.A.";175500000;PYG;Guaraníes;"2026-03-04 14:19:40";dix2iRRDbik%3D;1f11717d-cd68-637a-a90f-7db3ff72c882;9c7817cf-0320-4392-97b6-4af56547dbea;covid-19
x8%2BwPqSgV0MPdKIuT6a0kqJhqST%2F3CxCl%2F%2BiR64%2FlP8b1YD7N9jFog%3D%3D;a271541727a2eed57f699db42331ee916d2b426b;%2FUNSRFlPjxg%3D;AM-12008-26-61390;395261;confirmada;confirmada;ministerio-salud-publica-bienestar-social;306;"Ministerio de Salud Pública y Bienestar Social";"Uoc Nro 1  Nivel Central (D.O.C)";1451-2026-3;80001446-4;"VICENTE SCAVONE & CIA. S.A.E";4257000000;PYG;Guaraníes;"2026-02-23 08:00:20";dix2iRRDbik%3D;;9c7817cf-0320-4392-97b6-4af56547dbea;covid-19
%2FzusKqyhXGu0LR%2B9orpCMWcLlNVC7Zhh%2FvLxrWEqN3TjqVy%2BnxVseg%3D%3D;020dd8e50c2e4c651f2efec754abb690502cc656;wQHvURng9Kk%3D;AM-12008-26-61389;395261;confirmada;confirmada;ministerio-salud-publica-bienestar-social;306;"Ministerio de Salud Pública y Bienestar Social";"Uoc Nro 1  Nivel Central (D.O.C)";1451-2026-2;80001446-4;"VICENTE SCAVONE & CIA. S.A.E";3326400000;PYG;Guaraníes;"2026-02-23 07:59:12";dix2iRRDbik%3D;;9c7817cf-0320-4392-97b6-4af56547dbea;covid-19
vovtEIulkM3BiA6ZDUB0iY7OtWaSomqUVcA4SF6%2FddII%2Fn0vzg5Uew%3D%3D;850e506d05484f3060660901979d01fb4fd939a0;Eer%2FZMSfNv8%3D;AM-12008-26-61388;395261;confirmada;confirmada;ministerio-salud-publica-bienestar-social;306;"Ministerio de Salud Pública y Bienestar Social";"Uoc Nro 1  Nivel Central (D.O.C)";1451-2026-1;80074991-0;"QUIMFA S.A.";4959000000;PYG;Guaraníes;"2026-02-23 07:58:07";dix2iRRDbik%3D;;9c7817cf-0320-4392-97b6-4af56547dbea;covid-19
3b%2BtyiTgTM64%2BuYTesp6CRLN%2FK6XZci4aCoSg4lpk45xQ3tbBYgoow%3D%3D;db688decb7045b9b44aaf9d68d5e6292825193c2;kFzW3bH7m%2Fs%3D;AM-12008-25-60678;395261;confirmada;confirmada;ministerio-salud-publica-bienestar-social;306;"Ministerio de Salud Pública y Bienestar Social";"Uoc Nro 1  Nivel Central (D.O.C)";1451-2025-719;80074991-0;"QUIMFA S.A.";1596000000;PYG;Guaraníes;"2025-12-10 13:49:47";dix2iRRDbik%3D;;9c7817cf-0320-4392-97b6-4af56547dbea;covid-19
agNobx%2BeIkNKyHBDEwemx%2FtQh1pH2sBMhug92F2PqtWiCAyLVifQuQ%3D%3D;8055009b2d1e2944fe0ec22de6d8e48503a87866;o%2F7VU7GxD0g%3D;AM-12003-25-59901;395261;confirmada;confirmada;ministerio-interior;299;"Ministerio del Interior";"Policia Nacional";1050-2025-1119;80001446-4;"VICENTE SCAVONE & CIA. S.A.E";25000000;PYG;Guaraníes;"2025-12-03 06:43:39";dix2iRRDbik%3D;1f004163-6d6e-629a-81b9-d7da19dac0a5;9c7817cf-0320-4392-97b6-4af56547dbea;covid-19
PlOAmNx2610fBBNV6L%2FO5SwwLxh%2F9tmuLQEY72vQfekxSLhbvjGk4A%3D%3D;ea4953ce008875f588d621262d33c8e494dd278e;4PnxqcCbJOo%3D;AM-24001-25-59874;395261;confirmada;confirmada;instituto-prevision-social;157;"Instituto de Previsión Social";"Uoc Ips";1321-2025-34;80074991-0;"QUIMFA S.A.";1600200000;PYG;Guaraníes;"2025-12-02 15:11:56";dix2iRRDbik%3D;;9c7817cf-0320-4392-97b6-4af56547dbea;covid-19
PlOAmNx2613gDwZrMvmBE4DGP5T5%2FpuPLQEY72vQfekxSLhbvjGk4A%3D%3D;d57d1513680cfd7f8921529abc8229289c6a5836;4PnxqcCbJOo%3D;AM-24001-25-59873;395261;confirmada;confirmada;instituto-prevision-social;157;"Instituto de Previsión Social";"Uoc Ips";1321-2025-33;80001446-4;"VICENTE SCAVONE & CIA. S.A.E";405000000;PYG;Guaraníes;"2025-12-02 15:10:19";dix2iRRDbik%3D;;9c7817cf-0320-4392-97b6-4af56547dbea;covid-19
TjvaqyHxjaWER7KDTMDMMI6FF9R1PcBNzwdrve2JvFIUXe%2B1Oqmgcg%3D%3D;c6e5b19dbffad4db62503d5736599e7efa05e3d8;A3kmwHK%2BnoM%3D;AM-28001-25-59733;395261;confirmada;confirmada;universidad-nacional-asuncion;226;"Universidad Nacional de Asunción";"Facultad de Ciencias Medicas";1360-2025-180;80074991-0;"QUIMFA S.A.";137700000;PYG;Guaraníes;"2025-12-01 12:48:07";dix2iRRDbik%3D;1eff501e-cbd1-6814-ba6b-3150ff69b727;9c7817cf-0320-4392-97b6-4af56547dbea;covid-19
woer5UEwAKmTDbGqOPeubcaIWML9FfmV621RfiV%2FecQtwP9xC4c%2BKw%3D%3D;b05095c803a537d9deda5b14ef1167c790376ac2;nB5wiEMudZE%3D;AM-28001-25-59260;395261;confirmada;confirmada;universidad-nacional-asuncion;226;"Universidad Nacional de Asunción";"Facultad de Ciencias Medicas";1360-2025-172;80051446-7;"INTERLABO S.R.L.";157500000;PYG;Guaraníes;"2025-11-25 11:54:29";dix2iRRDbik%3D;1eff501e-cbd1-6814-ba6b-3150ff69b727;9c7817cf-0320-4392-97b6-4af56547dbea;covid-19
icXJgdIEN4wnebdjoD4aGX5vi6%2FIWMrji4%2BlswVO45mvPhR0V7z%2BSw%3D%3D;b0c9331fcf5d06dd6b6f361621e88a1074be32f8;wFff%2B9yniVE%3D;AM-28001-25-59258;395261;confirmada;confirmada;universidad-nacional-asuncion;226;"Universidad Nacional de Asunción";"Facultad de Ciencias Medicas";1360-2025-173;80001446-4;"VICENTE SCAVONE & CIA. S.A.E";153000000;PYG;Guaraníes;"2025-11-25 11:51:14";dix2iRRDbik%3D;1eff501e-cbd1-6814-ba6b-3150ff69b727;9c7817cf-0320-4392-97b6-4af56547dbea;covid-19
hnqUQ8PipTGc1ULykt3HWikNqQPrpJ6H94PpRBmuJ%2BQijMqS1nwqxg%3D%3D;8f23a86d58c86e04f08a52f2c4af4bf853499ad7;7gGxMP7I8LU%3D;AM-12008-25-58831;395261;confirmada;confirmada;ministerio-salud-publica-bienestar-social;306;"Ministerio de Salud Pública y Bienestar Social";"Uoc Nro 1  Nivel Central (D.O.C)";1451-2025-697;80001446-4;"VICENTE SCAVONE & CIA. S.A.E";747000000;PYG;Guaraníes;"2025-11-19 14:41:39";dix2iRRDbik%3D;1efd420f-4c7c-64ac-afc1-155542086bcf;9c7817cf-0320-4392-97b6-4af56547dbea;covid-19
